num,work_name,location,salary,work_year,educate,company_name,company_type,financing_conditions,company_size,city,nums
1078,大数据专家 知名国企,成都,55000,1-3年,硕士,某大型知名消费电子公司,消费电子,未融资,10000人以上,成都,1
1079,大数据leader,上海,82500,经验不限,本科,某知名后市场公司,4S店/后市场,D轮及以上,1000-9999人,上海,1
1080,大数据运维（武汉）,武汉·洪山区·徐东大街,14000,7年以上,大专,润和软件,移动互联网,已上市,10000人以上,武汉,1
1081,大数据产品负责人,北京,85000,3-5年,本科,某大型知名互联网公司,互联网,D轮及以上,10000人以上,北京,1
1082,大数据leader,深圳,60000,3-5年,博士,某互联网金融公司,互联网金融,未融资,20-99人,深圳,1
1083,大数据测试工程师（数据层）,北京·朝阳区·三元桥,12500,1-3年,大专,佳易慧通,计算机软件,未融资,20-99人,北京,1
1084,大数据,北京·海淀区·西北旺,15500,1-3年,学历不限,宇信科技,计算机软件,已上市,1000-9999人,北京,1
1085,资深高级大数据开发工程师（实时计算深圳）,深圳·南山区·西丽,50000,1-3年,博士,SHEIN,电子商务,D轮及以上,10000人以上,深圳,1
1086,资深大数据研发工程师-数据治理方向,深圳·南山区·科技园,45000,1-3年,本科,字节跳动,移动互联网,D轮及以上,10000人以上,深圳,1
1087,大数据讲师,西安·雁塔区·高新路,10000,7年以上,学历不限,英杰科技,在线教育,未融资,500-999人,西安,1
1088,大数据开发（vivo）,深圳·宝安区·宝安中心区,23500,5-7年,硕士,微创软件,计算机软件,不需要融资,10000人以上,深圳,1
1089,新媒体大数据,佛山·南海区·大沥,8000,3-5年,博士,嘉星传媒,电子商务,未融资,100-499人,佛山,1
1090,金融大数据销售（反欺诈）,杭州·西湖区·西溪,22500,5-7年,本科,储信信息,互联网,未融资,0-20人,杭州,1
1091,大数据项目经理,石家庄,16500,经验不限,学历不限,唐颐,计算机软件,未融资,20-99人,石家,1
1092,大数据开发工程师(J10502),合肥·包河区·工业园,19500,7年以上,硕士,国轩高科,汽车生产,已上市,10000人以上,合肥,1
1093,大数据项目经理,珠海·香洲区·横琴,15000,7年以上,本科,金锐,银行,不需要融资,1000-9999人,珠海,1
1094,开发专家（AI/大数据/架构师）,苏州·苏州工业园区·独墅湖,30000,3-5年,学历不限,凌志软件,计算机软件,已上市,1000-9999人,苏州,1
1095,大数据挖掘工程师（用户画像）,深圳·福田区·梅林,23000,1-3年,博士,诚迈科技,移动互联网,已上市,1000-9999人,深圳,1
1096,大数据架构专家（Flink实时）,广州·海珠区·华洲,85000,1-3年,本科,树根互联股份有限公司,数据服务,C轮,1000-9999人,广州,1
1097,大数据智能化治理研究专家,厦门,40000,7年以上,本科,某500强上市公司,计算机软件,已上市,1000-9999人,厦门,1
1098,大数据分析师,南阳,12500,1-3年,本科,牧原肉食品有限公司,农/林/牧/渔,已上市,10000人以上,南阳,1
1099,高级大数据产品经理,广州·天河区·小新塘,32000,5-7年,本科,安徽云外勤,互联网,A轮,1000-9999人,广州,1
1100,大数据安全专家,深圳,60000,5-7年,本科,某大型知名电子商务公司,电子商务,D轮及以上,10000人以上,深圳,1
1101,高级大数据架构师,深圳·福田区·梅林,55000,3-5年,本科,荣耀终端有限公司,消费电子,不需要融资,10000人以上,深圳,1
1102,大数据ETL高级工程师,上海·浦东新区·金桥,17500,3-5年,硕士,上海睿民科技,互联网,已上市,500-999人,上海,1
1103,大数据开发工程师,石家庄·长安区·乐汇城,8500,3-5年,本科,科创明达,企业服务,未融资,100-499人,石家,1
1104,大数据专业高级方案经理,北京·海淀区·西北旺,30000,3-5年,本科,联想教育,计算机服务,未融资,100-499人,北京,1
1105,大数据架构师,北京·丰台区·总部基地,20000,3-5年,硕士,辅星信息,计算机软件,未融资,20-99人,北京,1
1106,大数据/数据架构师,深圳,55000,5-7年,本科,某大型互联网上市集团公司,互联网,不需要融资,500-999人,深圳,1
1107,大数据java工程师,合肥·蜀山区·海恒,12000,3-5年,本科,满辰科技,互联网,未融资,100-499人,合肥,1
1108,大数据专家,合肥,70000,1-3年,大专,某大型知名汽车生产上市公司,汽车生产,已上市,10000人以上,合肥,1
1109,高级大数据产品经理,广州,50000,7年以上,大专,某知名计算机软件公司,计算机软件,未融资,1000-9999人,广州,1
1110,大数据运维工程师,北京,20500,1-3年,博士,某大型知名工程施工公司,工程施工,未融资,10000人以上,北京,1
1111,大数据架构师,深圳·南山区·科技园,45000,5-7年,本科,科思,通信/网络设备,未融资,100-499人,深圳,1
1112,大数据开发架构师,成都,32500,经验不限,硕士,某知名餐饮公司,餐饮,未融资,1000-9999人,成都,1
1113,大数据业务架构师,上海·静安区·大宁,35000,1-3年,本科,杭州致成电子科技...,互联网,A轮,500-999人,上海,1
1114,大数据方向进站博士,长沙,20000,1-3年,硕士,威胜集团,仪器仪表/工业自动化,已上市,1000-9999人,长沙,1
1115,大数据研发专家,杭州·余杭区·仓前,35000,1-3年,本科,贝联珠贯,计算机软件,天使轮,20-99人,杭州,1
1116,大数据数据仓库开发,合肥·蜀山区·井岗,20000,7年以上,学历不限,喆塔,计算机服务,未融资,100-499人,合肥,1
1117,高级大数据开发工程师,郑州·金水区·祭城,9000,经验不限,硕士,天云聚合,互联网,未融资,20-99人,郑州,1
1118,大数据架构师（合肥）,合肥·庐阳区·双岗,17500,5-7年,硕士,云端股份,互联网,未融资,100-499人,合肥,1
1119,大数据架构师（地址：苏州）,苏州,40000,1-3年,硕士,某500强上市公司,互联网,D轮及以上,1000-9999人,苏州,1
1120,大数据云服务解决方案SE,杭州·滨江区·浦沿,25000,1-3年,博士,华为云计算,计算机服务,不需要融资,10000人以上,杭州,1
1121,大数据开发工程师（五险一金+餐补）,长沙·雨花区·武广新城,11500,5-7年,本科,零食很忙,批发/零售,B轮,1000-9999人,长沙,1
1122,大数据技术经理,广州·番禺区·长隆,18500,1-3年,大专,行致互联,互联网,未融资,100-499人,广州,1
1123,大数据工程师,北京,65000,7年以上,博士,百度,互联网,已上市,10000人以上,北京,1
1124,大数据分析工程师,武汉·洪山区·关山,22500,5-7年,学历不限,卓成企服,企业服务,未融资,20-99人,武汉,1
1125,架构师（大数据方向）(J10381),深圳·龙华区·观澜,40000,3-5年,大专,捷顺科技,互联网,已上市,1000-9999人,深圳,1
1126,大数据开发工程师（NLP算法）,徐州·鼓楼区·祥和小区,12000,5-7年,大专,江苏微雀,计算机软件,未融资,100-499人,徐州,1
1127,大数据开发工程师,南京·鼓楼区·华侨路,16000,5-7年,博士,集瑞信息科技,计算机软件,未融资,20-99人,南京,1
